n,P_approx_2(2.3.n)
667,0.277361
668,0.242515
669,0.246637
670,0.265672
671,0.263785
672,0.279762
673,0.257058
674,0.278932
675,0.260741
676,0.236686
677,0.271787
678,0.289086
679,0.265096
680,0.254412
681,0.233480
682,0.269795
683,0.262079
684,0.263158
685,0.275912
686,0.288630
687,0.280932
688,0.247093
689,0.252540
690,0.284058
691,0.279305
692,0.297688
693,0.245310
694,0.247839
695,0.276259
696,0.247126
697,0.265423
698,0.275072
699,0.281831
700,0.255714
701,0.272468
702,0.250712
703,0.277383
704,0.258523
705,0.289362
706,0.236544
707,0.271570
708,0.274011
709,0.241185
710,0.263380
711,0.277075
712,0.264045
713,0.263675
714,0.266106
715,0.275524
716,0.283520
717,0.287308
718,0.268802
719,0.278164
720,0.283333
721,0.273232
722,0.253463
723,0.261411
724,0.274862
725,0.260690
726,0.267218
727,0.280605
728,0.255495
729,0.267490
730,0.287671
731,0.253078
732,0.265027
733,0.256480
734,0.234332
735,0.266667
736,0.237772
737,0.287653
738,0.265583
739,0.259811
740,0.264865
741,0.215924
742,0.254717
743,0.262450
744,0.254032
745,0.304698
746,0.277480
747,0.251673
748,0.275401
749,0.265688
750,0.269333
751,0.259654
752,0.259309
753,0.261620
754,0.250663
755,0.282119
756,0.264550
757,0.289300
758,0.277045
759,0.258235
760,0.278947
761,0.281209
762,0.265092
763,0.260813
764,0.232984
765,0.271895
766,0.251958
767,0.264668
768,0.250000
769,0.279584
770,0.244156
771,0.245136
772,0.253886
773,0.254851
774,0.241602
775,0.250323
776,0.262887
777,0.247104
778,0.260925
779,0.259307
780,0.262821
781,0.259923
782,0.255754
783,0.254151
784,0.253827
785,0.253503
786,0.281170
787,0.263024
788,0.267766
789,0.309252
790,0.241772
791,0.257901
792,0.242424
793,0.255990
794,0.255668
795,0.256604
796,0.243719
797,0.281054
798,0.270677
799,0.245307
800,0.271250
801,0.278402
802,0.271820
803,0.277709
804,0.252488
805,0.272050
806,0.277916
807,0.254027
808,0.287129
809,0.252163
810,0.265432
811,0.242910
812,0.252463
813,0.233702
814,0.275184
815,0.290798
816,0.278186
817,0.280294
818,0.264059
819,0.260073
820,0.248780
821,0.277710
822,0.244526
823,0.243013
824,0.257282
825,0.259394
826,0.299031
827,0.253930
828,0.253623
829,0.289505
830,0.289157
831,0.264741
832,0.270433
833,0.288115
834,0.278177
835,0.274251
836,0.258373
837,0.259259
838,0.270883
839,0.266985
840,0.279762
841,0.285375
842,0.270784
843,0.253855
844,0.289100
845,0.249704
846,0.281324
847,0.279811
